,index,Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,HCAHPS Measure ID,HCAHPS Question,HCAHPS Answer Description,Patient Survey Star Rating,Patient Survey Star Rating Footnote,HCAHPS Answer Percent,HCAHPS Answer Percent Footnote,HCAHPS Linear Mean Value,Number of Completed Surveys,Number of Completed Surveys Footnote,Survey Response Rate Percent,Survey Response Rate Percent Footnote,Start Date,End Date,Year,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for promoting interoperability of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,lat,lon
118575,118575,141333,SARAH D CULBERTSON MEMORIAL HOSPITAL,238 SOUTH CONGRESS STREET,RUSHVILLE,IL,62681,SCHUYLER,(217) 322-4321,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,86,6,Not Applicable,63,6,36,6,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,16.0,Not Available,5.0,Not Available,16.0,Same as the national average,,Not Available,16.0,Not Available,16.0,Not Available,16.0,Same as the national average,,40.11792,-90.564293
118668,118668,141334,ST JOSEPH MEMORIAL HOSPITAL,2 SOUTH HOSPITAL DRIVE,MURPHYSBORO,IL,62966,JACKSON,(618) 684-3156,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,84,,Not Applicable,104,,24,,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Not Available,5.0,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Not Available,5.0,37.773735,-89.324608
118761,118761,141335,MERCY HARVARD HOSPITAL,901 S GRANT STREET,HARVARD,IL,60033,MC HENRY,(815) 943-5431,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,86,6,Not Applicable,93,6,27,6,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Not Available,16.0,Same as the national average,,Not Available,16.0,Same as the national average,,Above the national average,,Same as the national average,,42.426273,-88.606857
118854,118854,141336,ST JOSEPH'S HOSPITAL,12866 TROXLER AVENUE,HIGHLAND,IL,62249,MADISON,(618) 651-2600,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,90,,Not Applicable,197,,32,,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,5,,Same as the national average,,Not Available,5.0,Same as the national average,,Above the national average,,Not Available,5.0,Not Available,16.0,Same as the national average,,38.754547,-89.667152
118947,118947,141337,PERRY MEMORIAL HOSPITAL,530 PARK AVENUE EAST,PRINCETON,IL,61356,BUREAU,(815) 875-2811,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,87,,Not Applicable,133,,34,,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Government - Local,Yes,Y,3,,Same as the national average,,Not Available,5.0,Same as the national average,,Same as the national average,,Same as the national average,,Not Available,5.0,Same as the national average,,41.366875,-89.45607
119040,119040,141338,MEMORIAL HOSPITAL,1900 STATE ST,CHESTER,IL,62233,RANDOLPH,(618) 826-4581,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,90,,Not Applicable,121,,42,,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,4,,Same as the national average,,Not Available,16.0,Same as the national average,,Above the national average,,Not Available,5.0,Same as the national average,,Same as the national average,,37.917629,-89.813393
119133,119133,141339,TAYLORVILLE MEMORIAL HOSPITAL,201 EAST PLEASANT STREET,TAYLORVILLE,IL,62568,CHRISTIAN,(217) 824-3331,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,82,6,Not Applicable,95,6,19,6,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Same as the national average,,Not Available,5.0,Above the national average,,Same as the national average,,Not Available,5.0,Above the national average,,Same as the national average,,39.555248,-89.293793
119226,119226,141340,VALLEY WEST COMMUNITY HOSPITAL,1301 NORTH MAIN STREET,SANDWICH,IL,60548,DE KALB,(815) 786-8484,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,89,11,Not Applicable,135,11,28,11,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,5,,Same as the national average,,Not Available,16.0,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,41.657781707349,-88.621923226639
119319,119319,141341,PANA COMMUNITY HOSPITAL,101 E NINTH STREET,PANA,IL,62557,CHRISTIAN,(217) 562-2131,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,85,6,Not Applicable,67,6,29,6,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,3,,Same as the national average,,Not Available,16.0,Same as the national average,,Not Available,16.0,Not Available,16.0,Not Available,16.0,Same as the national average,,39.379284,-89.084244
119412,119412,141342,ANNA HOSPITAL CORPORATION D/B/A UNION COUNTY HOSPITAL,517 NORTH MAIN STREET,ANNA,IL,62906,UNION,(618) 833-4511,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,87,6,Not Applicable,84,6,24,6,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Proprietary,Yes,Y,4,,Not Available,5.0,Not Available,16.0,Same as the national average,,Not Available,16.0,Same as the national average,,Same as the national average,,Same as the national average,,37.464973,-89.246223
119505,119505,141343,CRAWFORD MEMORIAL HOSPITAL,1000 NORTH ALLEN STREET,ROBINSON,IL,62454,CRAWFORD,(618) 544-3131,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,90,,Not Applicable,127,,22,,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,4,,Same as the national average,,Not Available,5.0,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Below the national average,,39.014614,-87.75061
119598,119598,141344,LAWRENCE COUNTY MEMORIAL HOSPITAL,2200 STATE ST,LAWRENCEVILLE,IL,62439,LAWRENCE,(618) 943-1000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,86,6,Not Applicable,89,6,33,6,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16.0,Same as the national average,,Not Available,16.0,Same as the national average,,Not Available,16.0,Not Available,16.0,Not Available,16.0,Not Available,16.0,38.728615,-87.693863
119691,119691,141345,SALEM TOWNSHIP HOSPITAL,1201 RICKER DRIVE,SALEM,IL,62881,MARION,(618) 548-3194,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,91,,Not Applicable,146,,37,,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Government - Local,Yes,Y,4,,Same as the national average,,Not Available,5.0,Same as the national average,,Above the national average,,Not Available,5.0,Not Available,16.0,Not Available,5.0,38.641571,-88.948601
119784,119784,141346,FAYETTE COUNTY HOSPITAL,7TH AND TAYLOR,VANDALIA,IL,62471,FAYETTE,(618) 283-1231,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,81,6,Not Applicable,76,6,30,6,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Other,Yes,,Not Available,16.0,Same as the national average,,Not Available,16.0,Below the national average,,Not Available,16.0,Not Available,16.0,Not Available,16.0,Not Available,16.0,38.970689991941,-89.098900020634
119877,119877,141347,CARLINVILLE AREA HOSPITAL,20733 N BROAD STREET,CARLINVILLE,IL,62626,MACOUPIN,(217) 854-3141,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,94,6,Not Applicable,55,6,28,6,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16.0,Same as the national average,,Not Available,16.0,Same as the national average,,Not Available,16.0,Not Available,5.0,Not Available,16.0,Not Available,16.0,39.299,-89.882957
119970,119970,141348,RED BUD REGIONAL HOSPITAL,325 SPRING STREET,RED BUD,IL,62278,RANDOLPH,(618) 282-3831,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,85,,Not Applicable,196,,34,,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Proprietary,Yes,Y,4,,Same as the national average,,Not Available,5.0,Below the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,38.209072,-89.997101
120063,120063,141349,SPARTA COMMUNITY HOSPITAL,818 E BROADWAY,SPARTA,IL,62286,RANDOLPH,(618) 443-2177,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,89,6,Not Applicable,61,6,31,6,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,3,,Same as the national average,,Not Available,16.0,Same as the national average,,Not Available,16.0,Not Available,5.0,Same as the national average,,Same as the national average,,38.124023,-89.691345
120156,120156,141350,ST FRANCIS HOSPITAL,1215 FRANCISCAN DR,LITCHFIELD,IL,62056,MONTGOMERY,(217) 324-2191,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,87,,Not Applicable,268,,30,,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,4,,Same as the national average,,Not Available,5.0,Same as the national average,,Above the national average,,Same as the national average,,Not Available,5.0,Same as the national average,,39.180325,-89.640213
120249,120249,141351,CLAY COUNTY HOSPITAL,911 STACY BURK DRIVE,FLORA,IL,62839,CLAY,(618) 662-2131,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,80,6,Not Applicable,62,6,20,6,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Government - Local,Yes,Y,2,,Same as the national average,,Not Available,16.0,Below the national average,,Not Available,16.0,Not Available,5.0,Same as the national average,,Not Available,5.0,38.680935,-88.472763
120342,120342,143300,ANN & ROBERT H LURIE CHILDRENS HOSPITAL OF CHICAGO,"225 E CHICAGO AVE, BOX 140",CHICAGO,IL,60611,COOK,(312) 227-4000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,Not Available,19,Not Applicable,Not Available,19,Not Available,19,07/01/2018,06/30/2019,2020,Childrens,Voluntary non-profit - Private,Yes,,Not Available,19.0,Not Available,19.0,Not Available,19.0,Not Available,19.0,Not Available,19.0,Not Available,19.0,Not Available,19.0,Not Available,19.0,41.896095,-87.621407
120435,120435,143301,LARABIDA CHILDRENS HOSPITAL I,E 65TH ST AT LAKE MICHIGAN,CHICAGO,IL,60649,COOK,(773) 363-6700,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,Not Available,19,Not Applicable,Not Available,19,Not Available,19,07/01/2018,06/30/2019,2020,Childrens,Voluntary non-profit - Private,No,,Not Available,19.0,Not Available,19.0,Not Available,19.0,Not Available,19.0,Not Available,19.0,Not Available,19.0,Not Available,19.0,Not Available,19.0,41.776773326823,-87.605050735539
120528,120528,143302,SHRINERS HOSPITAL FOR CHILDREN,2211 NORTH OAK PARK AVE,CHICAGO,IL,60707,COOK,(773) 622-5400,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,Not Available,19,Not Applicable,Not Available,19,Not Available,19,07/01/2018,06/30/2019,2020,Childrens,Voluntary non-profit - Private,No,,Not Available,19.0,Not Available,19.0,Not Available,19.0,Not Available,19.0,Not Available,19.0,Not Available,19.0,Not Available,19.0,Not Available,19.0,41.916779,-87.794579
120621,120621,150001,JOHNSON MEMORIAL HOSPITAL,1125 W JEFFERSON ST,FRANKLIN,IN,46131,JOHNSON,(317) 736-3300,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,82,,Not Applicable,383,,34,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Local,Yes,Y,3,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,39.479366,-86.078453
120714,120714,150002,METHODIST HOSPITALS INC,600 GRANT ST,GARY,IN,46402,LAKE,(219) 886-4000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,77,,Not Applicable,681,,13,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,41.599785,-87.357979
120807,120807,150004,FRANCISCAN ST. MARGARET HEALTH HAMMOND,5454 HOHMAN AVE,HAMMOND,IN,46320,LAKE,(219) 932-2300,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,77,,Not Applicable,417,,12,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,,Same as the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,41.615425,-87.522461
120900,120900,150005,HENDRICKS REGIONAL HEALTH,1000 E MAIN ST,DANVILLE,IN,46122,HENDRICKS,(317) 745-4451,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,83,,Not Applicable,421,,22,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Local,Yes,Y,4,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,39.761822,-86.50135
120993,120993,150006,LA PORTE HOSPITAL,1007 LINCOLNWAY,LA PORTE,IN,46350,LA PORTE,(219) 326-1234,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,78,,Not Applicable,485,,23,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,41.6106,-86.72509
121086,121086,150007,COMMUNITY HOWARD REGIONAL HEALTH INC.,3500 S LAFOUNTAIN ST,KOKOMO,IN,46902,HOWARD,(765) 776-8000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,84,,Not Applicable,545,,25,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,40.447273,-86.124886
121179,121179,150008,ST CATHERINE HOSPITAL INC,4321 FIR ST,EAST CHICAGO,IN,46312,LAKE,(219) 392-7004,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,81,,Not Applicable,479,,13,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,41.634678,-87.447792
121272,121272,150009,CLARK MEMORIAL HOSPITAL,1220 MISSOURI AVE,JEFFERSONVILLE,IN,47130,CLARK,(812) 283-2147,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,70,,Not Applicable,599,,21,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,2,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,38.282318,-85.748772
121365,121365,150010,"ST. JOSEPH HOSPITAL & HEALTH CENTER, INC",1907 W SYCAMORE ST,KOKOMO,IN,46904,HOWARD,(765) 452-5611,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,77,,Not Applicable,899,,31,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,,Below the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,40.486248,-86.156677
121458,121458,150011,MARION GENERAL HOSPITAL,441 N WABASH AVE,MARION,IN,46952,GRANT,(765) 660-6000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,80,,Not Applicable,481,,20,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,40.564556,-85.665367
121551,121551,150012,SAINT JOSEPH REGIONAL MEDICAL CENTER,5215 HOLY CROSS PKWY,MISHAWAKA,IN,46545,ST. JOSEPH,(574) 335-5000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,77,,Not Applicable,2262,,27,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Below the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,41.706432,-86.174423
121644,121644,150015,FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY,3500 FRANCISCAN WAY,MICHIGAN CITY,IN,46360,LA PORTE,(219) 879-8511,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,79,,Not Applicable,833,,21,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,41.661945,-86.900841
121737,121737,150017,LUTHERAN HOSPITAL OF INDIANA,7950 W JEFFERSON BLVD,FORT WAYNE,IN,46804,ALLEN,(260) 435-7001,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,73,,Not Applicable,1357,,26,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Proprietary,Yes,Y,2,,Below the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,41.037727,-85.250565
121830,121830,150018,ELKHART GENERAL HOSPITAL,600 E BLVD,ELKHART,IN,46514,ELKHART,(574) 294-2621,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,78,,Not Applicable,370,,27,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Local,Yes,Y,4,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,41.679016,-85.993172
121923,121923,150021,PARKVIEW REGIONAL MEDICAL CENTER,11109 PARKVIEW PLAZA DRIVE,FORT WAYNE,IN,46845,ALLEN,(260) 266-1000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,80,,Not Applicable,3375,,34,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,41.187012,-85.101685
122016,122016,150022,FRANCISCAN HEALTH CRAWFORDSVILLE,1710 LAFAYETTE RD,CRAWFORDSVILLE,IN,47933,MONTGOMERY,(765) 362-2800,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,84,,Not Applicable,155,,29,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,40.066002,-86.905563
122109,122109,150023,UNION HOSPITAL INC,1606 N SEVENTH ST,TERRE HAUTE,IN,47804,VIGO,(812) 238-7606,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,84,,Not Applicable,498,,24,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,39.485504,-87.408836
122202,122202,150024,ESKENAZI HEALTH,720 ESKENAZI AVENUE,INDIANAPOLIS,IN,46202,MARION,(317) 880-4818,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,78,,Not Applicable,515,,9,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Local,Yes,Y,5,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,39.777962,-86.184113
122295,122295,150026,GOSHEN HOSPITAL,200 HIGH PARK AVE,GOSHEN,IN,46526,ELKHART,(574) 364-1000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,83,,Not Applicable,776,,27,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Below the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,41.563358,-85.830498
122388,122388,150030,HENRY COUNTY MEMORIAL HOSPITAL,1000 N 16TH ST,NEW CASTLE,IN,47362,HENRY,(765) 521-0890,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,85,,Not Applicable,540,,33,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Local,Yes,Y,3,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,39.943085,-85.363625
122481,122481,150034,ST MARY MEDICAL CENTER INC,1500 S LAKE PARK AVE,HOBART,IN,46342,LAKE,(219) 942-0551,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,80,,Not Applicable,1338,,26,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,41.512661,-87.260811
122574,122574,150035,PORTER REGIONAL HOSPITAL,85 EAST US HWY 6,VALPARAISO,IN,46383,PORTER,(219) 983-8300,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,78,,Not Applicable,977,,26,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Proprietary,Yes,Y,4,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,41.554035,-87.049423
122667,122667,150037,HANCOCK REGIONAL HOSPITAL,801 N STATE ST,GREENFIELD,IN,46140,HANCOCK,(317) 462-5544,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,84,,Not Applicable,545,,34,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Local,Yes,Y,4,,Below the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,39.794289,-85.765945
122760,122760,150042,GOOD SAMARITAN HOSPITAL,520 S 7TH ST,VINCENNES,IN,47591,KNOX,(812) 882-5220,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,79,,Not Applicable,504,,27,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,,Same as the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,38.672901004866,-87.532779969057
122853,122853,150044,BAPTIST HEALTH FLOYD,1850 STATE ST,NEW ALBANY,IN,47150,FLOYD,(812) 944-7701,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,80,,Not Applicable,669,,24,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,38.300434,-85.834419
122946,122946,150045,DEKALB HEALTH,1316 E SEVENTH ST,AUBURN,IN,46706,DE KALB,(260) 925-4600,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,80,,Not Applicable,345,,27,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Not Available,5.0,41.368931,-85.035423
123039,123039,150046,TERRE HAUTE REGIONAL HOSPITAL,3901 S SEVENTH ST,TERRE HAUTE,IN,47802,VIGO,(812) 232-0021,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,82,,Not Applicable,608,,19,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Proprietary,Yes,Y,2,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,39.419384,-87.40905
123132,123132,150047,ST JOSEPH HOSPITAL,700 BROADWAY,FORT WAYNE,IN,46802,ALLEN,(260) 425-3000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,71,,Not Applicable,222,,13,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Proprietary,Yes,Y,2,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,41.078236,-85.149345
123225,123225,150048,REID HOSPITAL & HEALTH CARE SERVICES,1100 REID PKWY,RICHMOND,IN,47374,WAYNE,(765) 983-3000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,79,,Not Applicable,1579,,22,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,39.864883,-84.885208
